Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2025-02-08,0.0995,0.1077,0.0962,0.1062,14616131.1,1479350.73119,16169.0,7871764.9,798390.8193,14616131.1,1127398.7000000011,0.1063,25.583773649224483,,,44.0,Fear
2025-02-09,0.1062,0.1134,0.0999,0.1059,18032332.1,1936662.07827,15061.0,8927378.5,960440.44407,18032332.1,-177575.1000000015,0.1059,25.825877494838252,,,46.0,Fear
2025-02-10,0.1056,0.1129,0.1017,0.1099,16592611.9,1794952.90541,14083.0,8387354.0,907518.76783,16592611.9,182096.09999999963,0.1099,31.142438667154877,,,43.0,Fear
2025-02-11,0.11,0.1133,0.1027,0.1057,16176280.7,1748673.60617,15934.0,7490054.8,808815.37767,16176280.7,-1196171.0999999987,0.1057,35.42274052478132,,,47.0,Fear
2025-02-12,0.1056,0.1131,0.1007,0.1125,24390754.6,2581987.41024,23830.0,11710543.4,1241039.37446,24390754.6,-969667.8000000007,0.1125,30.424052052950415,,,46.0,Fear
2025-02-13,0.1125,0.1141,0.1054,0.1085,13721611.0,1500974.73882,11845.0,6356394.6,695696.20689,13721611.0,-1008821.8000000007,0.1085,26.513802315227068,,,50.0,Neutral
2025-02-14,0.1085,0.1151,0.1073,0.112,15647917.6,1734095.1536,14839.0,8670092.7,961891.24823,15647917.6,1692267.7999999989,0.112,29.618386816999134,,,48.0,Fear
2025-02-15,0.112,0.1127,0.1068,0.1082,9182082.9,1005750.1031,9209.0,4608767.4,504793.02387,9182082.9,35451.90000000037,0.1081,33.34146936783013,,,50.0,Neutral
2025-02-16,0.1081,0.114,0.1055,0.1065,16353301.5,1782328.27707,11467.0,8183428.2,893570.03608,16353301.5,13554.900000000373,0.1065,43.06431273644388,,,54.0,Greed
2025-02-17,0.1064,0.1086,0.0968,0.1001,25504438.6,2617336.70274,23588.0,13247243.7,1362957.69373,25504438.6,990048.799999997,0.1001,34.52417616261164,,,51.0,Greed
2025-02-18,0.1001,0.101,0.0898,0.0942,22430004.8,2122276.86148,16753.0,10506962.0,995274.88676,22430004.8,-1416080.8000000007,0.09414,35.30708661417323,,,47.0,Fear
2025-02-19,0.0939,0.0987,0.0926,0.0967,13537607.8,1302609.22947,10840.0,6172699.3,594130.08013,13537607.8,-1192209.2000000011,0.09666,43.58615868577421,,,44.0,Fear
2025-02-20,0.0967,0.0993,0.0965,0.0985,1778923.5,174294.65627,2010.0,783435.1,76810.22756,1778923.5,-212053.30000000005,0.09857,50.365785030951045,,,49.0,Fear
