Date,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close,RSI,Inflation Rate,CPI,value,classification
2022-03-24,94.88,103.7,93.26,102.32,4777008.51,474517921.1292,577470.0,2501927.04,248453993.2903,4777008.51,226845.5700000003,102.34,76.36856368563686,6.410831677385809,287.467,49.0,Fear
2022-03-25,102.32,104.86,96.95,98.6,3360440.57,341404558.2387,437293.0,1656758.79,168444166.4866,3360440.57,-46922.98999999976,98.58,73.23284823284821,6.410831677385809,287.467,49.0,Fear
2022-03-26,98.6,103.4,97.63,101.73,1906343.44,192503281.4375,259494.0,967949.31,97722561.219,1906343.44,29555.180000000168,101.74,74.81046710687207,6.410831677385809,287.467,49.0,Fear
2022-03-27,101.73,107.46,98.77,107.04,2351080.64,242015312.5972,345634.0,1235334.26,127285453.9821,2351080.64,119587.87999999989,107.0,82.5656379548595,6.410831677385809,287.467,51.0,Greed
2022-03-28,107.04,113.87,105.22,105.75,4146023.22,454984710.5219,653182.0,2087436.28,229173458.1359,4146023.22,28849.33999999985,105.87,79.34472934472934,6.410831677385809,287.467,53.0,Greed
2022-03-29,105.75,115.7,105.49,111.62,3727259.92,416037180.6463,590421.0,1847845.03,206246798.99,3727259.92,-31569.85999999987,111.72,81.18918918918918,6.410831677385809,287.467,52.0,Greed
2022-03-30,111.62,125.26,107.11,120.82,5250424.16,615094936.7057,827629.0,2742472.31,321357459.9801,5250424.16,234520.45999999996,120.59,82.67622461170848,6.410831677385809,287.467,58.0,Greed
2022-03-31,120.82,129.5,119.95,122.77,5143974.9,640563903.8799,858853.0,2627728.56,327348923.1376,5143974.9,111482.21999999974,122.9,83.42225609756098,6.410831677385809,287.467,59.0,Greed
2022-04-01,122.79,138.4,117.39,134.52,5505077.63,704191459.0215,995872.0,2891319.96,370222275.479,5505077.63,277562.29000000004,134.5,85.98808181671767,6.410831677385809,288.582,59.0,Greed
2022-04-02,134.53,143.51,131.47,132.49,4193984.2,575683426.3868,758063.0,2058206.92,282604887.3326,4193984.2,-77570.36000000034,132.38,82.46069054952179,6.410831677385809,288.582,59.0,Greed
2022-04-03,132.48,141.11,130.52,136.9,2964507.05,405018764.7833,540376.0,1504656.67,205685994.1096,2964507.05,44806.29000000004,136.9,88.76602564102564,6.410831677385809,288.582,61.0,Greed
2022-04-04,136.9,138.29,125.82,132.14,3456901.43,457752604.0445,582791.0,1707581.22,226157940.1181,3456901.43,-41738.99000000022,132.11,82.42216594667065,6.410831677385809,288.582,48.0,Fear
2022-04-05,132.14,136.63,126.07,126.87,2833885.54,374058737.7225,542422.0,1422223.85,187819028.3813,2833885.54,10562.160000000149,126.85,75.8048503758332,6.410831677385809,288.582,46.0,Fear
2022-04-06,126.88,127.4,112.1,112.95,4266870.2,512273613.6953,740311.0,2025250.65,243339132.4636,4266870.2,-216368.90000000037,113.0,61.28507014028056,6.410831677385809,288.582,46.0,Fear
2022-04-07,112.94,120.0,110.88,118.48,3326346.75,383156868.6751,581932.0,1697571.62,195657501.6623,3326346.75,68796.49000000022,118.54,60.381953345296075,6.410831677385809,288.582,46.0,Fear
2022-04-08,118.47,122.42,108.1,109.92,3328966.49,387721449.4475,550158.0,1660636.63,193727254.3235,3328966.49,-7693.230000000447,109.94,56.854936036688386,6.410831677385809,288.582,46.0,Fear
2022-04-09,109.92,113.69,108.28,112.96,1376896.77,152114680.8922,246823.0,701537.3,77520932.5896,1376896.77,26177.830000000075,112.93,56.766235336800094,6.410831677385809,288.582,46.0,Fear
2022-04-10,112.97,116.09,109.71,111.07,1560720.04,175614158.7559,282125.0,742815.64,83659173.1667,1560720.04,-75088.76000000001,111.02,52.53340055457524,6.410831677385809,288.582,44.0,Fear
2022-04-11,111.06,111.94,98.1,99.67,3332133.13,348238454.5094,491379.0,1606765.25,167966343.0612,3332133.13,-118602.62999999989,99.7,46.55422763319557,6.410831677385809,288.582,43.0,Fear
2022-04-12,99.64,109.36,98.31,103.22,3527634.19,366259936.4194,526763.0,1779367.32,184779552.3283,3527634.19,31100.450000000186,103.21,45.11985319417364,6.410831677385809,288.582,43.0,Fear
2022-04-13,103.21,106.04,100.09,104.94,2204306.4,228562636.8247,352611.0,1125144.84,116670986.6819,2204306.4,45983.28000000026,104.81,40.12762762762763,6.410831677385809,288.582,41.0,Fear
