Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2024-06-09,9.07,9.19,8.89,9.06,1676540.78,15207548.8083,39447.0,795597.3,7221399.8507,1676540.78,-85346.17999999993,9.063,48.27446751145861,2.872366268806581,313.131,75.0,Extreme Greed
2024-06-10,9.07,9.35,8.83,8.98,2459376.96,22320200.841,64754.0,1211184.41,11000527.0465,2459376.96,-37008.14000000013,8.979,41.134964720012,2.872366268806581,313.131,72.0,Greed
2024-06-11,8.98,9.16,8.3,8.42,4448032.7,38801572.3629,117445.0,2113136.67,18446030.1972,4448032.7,-221759.36000000034,8.423,21.552479411249337,2.872366268806581,313.131,74.0,Greed
2024-06-12,8.43,9.06,8.13,8.71,5638350.4,48789644.4101,127463.0,2913594.7,25221800.0819,5638350.4,188839.0,8.714,29.89386792452831,2.872366268806581,313.131,72.0,Greed
2024-06-13,8.71,8.77,7.79,7.86,3659791.34,29829193.6729,97092.0,1821494.65,14850552.473,3659791.34,-16802.040000000037,7.861,25.907000510986208,2.872366268806581,313.131,70.0,Greed
2024-06-14,7.87,8.07,7.31,7.64,3349260.16,25884716.425,87832.0,1683850.71,13029484.2925,3349260.16,18441.259999999776,7.643,25.610372116517937,2.872366268806581,313.131,74.0,Greed
2024-06-15,7.65,7.87,7.6,7.67,1269612.76,9775823.0185,30860.0,632919.32,4875431.3509,1269612.76,-3774.1200000001118,7.668,14.280170741171915,2.872366268806581,313.131,74.0,Greed
2024-06-16,7.67,8.21,7.5,8.21,1677241.69,13196860.9954,46661.0,882402.81,6951401.4611,1677241.69,87563.93000000017,8.207,16.214678551109444,2.872366268806581,313.131,71.0,Greed
2024-06-17,8.21,8.34,7.06,7.26,4508802.62,34151039.7496,103125.0,2141686.31,16207182.0151,4508802.62,-225430.0,7.258,16.40445126630854,2.872366268806581,313.131,71.0,Greed
2024-06-18,7.26,7.29,6.0,6.41,7181831.54,46605783.11951,153563.0,3495443.75,22672104.6839,7181831.54,-190944.04000000004,6.409,14.200298953662184,2.872366268806581,313.131,74.0,Greed
2024-06-19,6.41,6.65,6.29,6.53,4167062.76,27158567.4655,83785.0,2190983.4,14286557.3524,4167062.76,214904.04000000004,6.53,16.536767197560167,2.872366268806581,313.131,64.0,Greed
2024-06-20,6.53,6.81,6.24,6.37,3862780.7,25315433.7652,78942.0,1918527.92,12588709.1496,3862780.7,-25724.860000000335,6.369,16.231498420089835,2.872366268806581,313.131,60.0,Greed
2024-06-21,6.37,6.64,6.25,6.41,3528143.52,22741729.5647,72928.0,1729520.06,11145516.9549,3528143.52,-69103.3999999999,6.41,19.210426898375545,2.872366268806581,313.131,63.0,Greed
2024-06-22,6.42,6.42,6.21,6.33,1311631.96,8269591.7719,30450.0,632263.81,3987088.0246,1311631.96,-47104.33999999985,6.33,21.307353865493425,2.872366268806581,313.131,53.0,Greed
2024-06-23,6.34,6.55,6.04,6.09,2118899.3,13373522.646,39258.0,970994.18,6132538.7421,2118899.3,-176910.9399999996,6.089,20.307507987220475,2.872366268806581,313.131,55.0,Greed
2024-06-24,6.09,6.75,5.73,6.72,5627041.58,35193724.70363,109130.0,2801988.89,17558241.4837,5627041.58,-23063.799999999814,6.718,29.641635152170025,2.872366268806581,313.131,51.0,Greed
2024-06-25,6.71,7.1,6.67,6.8,2827100.16,19463379.0261,61341.0,1467714.58,10118241.8024,2827100.16,108329.0,6.798,33.99645459917275,2.872366268806581,313.131,30.0,Fear
2024-06-26,6.8,6.87,6.31,6.43,2833930.2,18586693.2071,50677.0,1365144.76,8944597.3344,2833930.2,-103640.68000000017,6.427,27.826255574946686,2.872366268806581,313.131,46.0,Fear
2024-06-27,6.43,6.534,6.226,6.313,4878027.85,31005667.41756,164780.0,2630068.9,16726237.63531,4878027.85,382109.9500000002,6.313,32.480760525124495,2.872366268806581,313.131,40.0,Fear
2024-06-28,6.313,6.498,6.026,6.067,2177282.78,13673754.0163,110505.0,1162895.13,7310567.08354,2177282.78,148507.47999999998,6.066,32.268945356420076,2.872366268806581,313.131,47.0,Fear
2024-06-29,6.068,6.306,6.005,6.044,1968924.3,12136297.34184,87045.0,1005612.59,6198200.07594,1968924.3,42300.87999999989,6.044,31.72817281728173,2.872366268806581,313.131,30.0,Fear
2024-06-30,6.044,6.29,5.987,6.201,2226315.32,13678277.96943,105559.0,1094787.86,6729203.52022,2226315.32,-36739.59999999963,6.202,25.32611370908195,2.872366268806581,313.131,47.0,Fear
2024-07-01,6.201,6.33,5.638,5.807,4895059.79,28994201.59475,181420.0,2392723.88,14158153.59986,4895059.79,-109612.03000000026,5.807,29.324593901396412,2.872366268806581,313.566,53.0,Greed
2024-07-02,5.807,5.984,5.731,5.825,2359250.03,13790179.482,85650.0,1156115.6,6761388.43044,2359250.03,-47018.82999999961,5.825,39.09634055265124,2.872366268806581,313.566,51.0,Greed
2024-07-03,5.826,5.951,5.28,5.307,3939143.04,22135948.78628,141505.0,1821519.22,10231820.54405,3939143.04,-296104.6000000003,5.309,30.13342011064107,2.872366268806581,313.566,50.0,Neutral
2024-07-04,5.308,5.334,4.73,4.905,5425094.93,27140098.59327,180091.0,2634486.93,13199410.97356,5425094.93,-156121.06999999937,4.903,27.908378541289935,2.872366268806581,313.566,44.0,Fear
2024-07-05,4.905,5.059,4.141,4.818,8874777.95,40935434.98292,312085.0,4544804.86,20969361.85163,8874777.95,214831.77000000142,4.816,26.30796670630201,2.872366268806581,313.566,29.0,Fear
2024-07-06,4.819,5.632,4.761,5.596,5536578.49,29405288.98718,256131.0,2912101.85,15445805.43478,5536578.49,287625.20999999996,5.594,40.940423436730676,2.872366268806581,313.566,26.0,Fear
2024-07-07,5.596,5.597,5.059,5.087,3275376.81,17346205.29633,157838.0,1524070.77,8068033.35053,3275376.81,-227235.27000000002,5.088,38.43309452276403,2.872366268806581,313.566,29.0,Fear
2024-07-08,5.088,6.301,4.888,6.057,9138773.67,52998994.43056,449705.0,4555492.71,26436635.79838,9138773.67,-27788.25,6.054,42.88164665523156,2.872366268806581,313.566,28.0,Fear
2024-07-09,6.057,7.365,5.968,7.252,10630352.17,70505316.97212,590797.0,5452797.81,36163637.38093,10630352.17,275243.44999999925,7.255,53.949870354364734,2.872366268806581,313.566,27.0,Fear
2024-07-10,7.252,7.436,6.57,6.829,6630924.02,46152775.83737,405893.0,3207771.74,22337392.93867,6630924.02,-215380.5399999991,6.83,53.45093337900325,2.872366268806581,313.566,28.0,Fear
2024-07-11,6.831,7.233,6.29,6.44,5627462.57,38249105.29637,365801.0,2677756.83,18221494.07451,5627462.57,-271948.91000000015,6.441,51.04677788681714,2.872366268806581,313.566,29.0,Fear
2024-07-12,6.439,6.727,6.222,6.367,4482385.46,28971036.70809,271576.0,2142437.46,13851990.0744,4482385.46,-197510.54000000004,6.365,52.51556452969881,2.872366268806581,313.566,25.0,Fear
2024-07-13,6.367,6.487,6.027,6.087,3559559.1,22163325.69914,175854.0,1749539.39,10892221.68766,3559559.1,-60480.3200000003,6.088,50.354953210713134,2.872366268806581,313.566,25.0,Fear
2024-07-14,6.087,6.411,6.076,6.324,3603039.49,22474695.52227,152123.0,1785722.11,11145069.52906,3603039.49,-31595.27000000002,6.323,50.96414342629482,2.872366268806581,313.566,33.0,Fear
2024-07-15,6.323,6.984,6.261,6.847,6197244.33,40498809.49074,294107.0,3186097.32,20834590.84025,6197244.33,174950.3099999996,6.846,58.11338435108542,2.872366268806581,313.566,52.0,Greed
2024-07-16,6.848,6.888,6.3,6.614,4634118.58,30554296.65427,236218.0,2199597.55,14513310.66296,4634118.58,-234923.48000000045,6.618,55.995765915620744,2.872366268806581,313.566,65.0,Greed
2024-07-17,6.615,6.757,6.267,6.281,4896039.17,31984999.08366,276555.0,2365755.36,15465270.00808,4896039.17,-164528.4500000002,6.281,57.553621386384826,2.872366268806581,313.566,69.0,Greed
2024-07-18,6.28,6.517,5.97,6.195,3199765.23,20072786.80583,180733.0,1533656.21,9643624.57525,3199765.23,-132452.81000000006,6.193,60.546108567691306,2.872366268806581,313.566,61.0,Greed
2024-07-19,6.195,6.465,6.038,6.412,2972252.36,18546343.63195,165899.0,1477083.84,9215617.2644,2972252.36,-18084.679999999702,6.413,62.77804448711794,2.872366268806581,313.566,60.0,Greed
2024-07-20,6.413,6.804,6.312,6.534,3500825.88,23074542.35141,159605.0,1711387.8,11275308.18803,3500825.88,-78050.2799999998,6.535,58.412301090649024,2.872366268806581,313.566,74.0,Greed
2024-07-21,6.534,7.407,6.291,7.29,4540107.09,30606627.62313,208495.0,2376175.47,16066642.8105,4540107.09,212243.85000000056,7.296,68.8782489740082,2.872366268806581,313.566,74.0,Greed
