Date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,Inflation Rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply,circulating_total_ratio,price_to_circulating_supply
2025-02-27,1243460.6177786838,38246.142013886005,0.0012434671049683923,0.00156058,0.00156946,0.00115423,0.00124347,38246.142013886005,10.0,Extreme Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-02-28,1194842.1887170307,13712.18132028572,0.0011948484222622188,0.00118431,0.00119693,0.00117246,0.0011886,13712.18132028572,16.0,Extreme Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-01,1113723.8264218962,7825.548094661194,0.0011160164278397131,0.00216034,0.00226591,0.00099468,0.00111462,7825.548094661194,20.0,Extreme Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-02,1347426.3286954977,11346.147450780498,0.0013474333582789743,0.00131383,0.00135326,0.00131004,0.00135326,11346.147450780498,26.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-03,1856269.6095349814,19041.227243566736,0.0018557115696080444,0.00173816,0.00185927,0.0017274,0.00185571,19041.227243566736,33.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-04,1985455.374791473,29399.653606405096,0.0019782651847164347,0.0019542,0.00201182,0.0019542,0.00198579,29399.653606405096,15.0,Extreme Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-05,1977845.8984504677,29163.533878565533,0.0019876931861718696,0.00111514,0.00228689,0.00109712,0.00198769,29163.533878565533,20.0,Extreme Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-06,1639964.5091642034,21973.261123257507,0.0016390909323038953,0.00154218,0.00166752,0.00153472,0.00163909,21973.261123257507,25.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-07,1617110.3402958096,31042.83879308452,0.001617118776832847,0.00162895,0.00165622,0.00161578,0.00162493,31042.83879308452,34.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-08,3067410.9758858676,540848.0464426155,0.003067455556393742,0.00302154,0.00315913,0.00302154,0.00307099,540848.0464426155,28.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-09,2602280.7910547573,136683.57810994974,0.002613380893654683,0.00197352,0.00315913,0.00147181,0.00261403,136683.57810994974,27.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-10,1984300.0930770894,12133.11602423397,0.0019761274856870624,0.00206084,0.00207623,0.00197613,0.00197626,12133.11602423397,20.0,Extreme Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-11,1871488.9982053237,89070.58155723292,0.0018714990057736342,0.00184176,0.00188117,0.00180918,0.0018715,89070.58155723292,24.0,Extreme Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-12,2023292.3819908607,33523.34127511156,0.0022155738560271847,0.00200404,0.0022157,0.00154898,0.0022157,33523.34127511156,34.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-13,1995866.870367279,9321.982533186343,0.001999862231099274,0.00261444,0.00269953,0.00154898,0.00199986,9321.982533186343,45.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
2025-03-14,1921509.1453516942,100510.79730031374,0.0019310263656637534,0.00189509,0.00194277,0.00188638,0.00192198,100510.79730031374,27.0,Fear,2.8142703731568686,,,2847,999994652.645671,999994652.645671,1000000000.0,1.0,0.0017287662443256605
