date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,inflation rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply
2024-11-05,0.0,29147.806436155603,1.3219305392848721e-07,1.3219305392848721e-07,1.3219305392848721e-07,1.3219305392848721e-07,1.3219305392848721e-07,29147.806436155603,70.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-06,0.0,26853.80998879131,1.3323906111214677e-07,1.3323906111214677e-07,1.3323906111214677e-07,1.3323906111214677e-07,1.3323906111214677e-07,26853.80998879131,70.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-07,0.0,46543.5354247657,1.3411237297496e-07,1.3411237297496e-07,1.3411237297496e-07,1.3411237297496e-07,1.3411237297496e-07,46543.5354247657,77.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-08,0.0,43577.215908639446,1.3411873553152062e-07,1.3411873553152062e-07,1.3411873553152062e-07,1.3411873553152062e-07,1.3411873553152062e-07,43577.215908639446,75.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-09,0.0,25874.244659163345,1.3401850612664163e-07,1.3401850612664163e-07,1.3401850612664163e-07,1.3401850612664163e-07,1.3401850612664163e-07,25874.244659163345,75.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-10,0.0,41429.865932185276,1.3441299733887024e-07,1.3441299733887024e-07,1.3441299733887024e-07,1.3441299733887024e-07,1.3441299733887024e-07,41429.865932185276,78.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-11,0.0,86534.7056199066,1.3433252988487817e-07,1.3433252988487817e-07,1.3433252988487817e-07,1.3433252988487817e-07,1.3433252988487817e-07,86534.7056199066,76.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-12,0.0,90854.97802265041,1.3431378906553737e-07,1.3431378906553737e-07,1.3431378906553737e-07,1.3431378906553737e-07,1.3431378906553737e-07,90854.97802265041,80.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-13,0.0,80546.73027111698,1.356125371846014e-07,1.356125371846014e-07,1.356125371846014e-07,1.356125371846014e-07,1.356125371846014e-07,80546.73027111698,84.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-14,0.0,105327.34734200846,1.3522376115004673e-07,1.3522376115004673e-07,1.3522376115004673e-07,1.3522376115004673e-07,1.3522376115004673e-07,105327.34734200846,88.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-15,0.0,87903.46885987272,1.3400969735621855e-07,1.3400969735621855e-07,1.3400969735621855e-07,1.3400969735621855e-07,1.3400969735621855e-07,87903.46885987272,80.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-16,0.0,58671.9425689056,1.3543225325452457e-07,1.3543225325452457e-07,1.3543225325452457e-07,1.3543225325452457e-07,1.3543225325452457e-07,58671.9425689056,86.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-17,0.0,92930.11510018978,1.3611418642817217e-07,1.3611418642817217e-07,1.3611418642817217e-07,1.3611418642817217e-07,1.3611418642817217e-07,92930.11510018978,90.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-18,0.0,72657.73359879437,1.352052290935105e-07,1.352052290935105e-07,1.352052290935105e-07,1.352052290935105e-07,1.352052290935105e-07,72657.73359879437,83.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-19,0.0,111133.74712761419,1.36375957888664e-07,1.36375957888664e-07,1.36375957888664e-07,1.36375957888664e-07,1.36375957888664e-07,111133.74712761419,90.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-20,0.0,67329.85623045854,1.352126515122027e-07,1.352126515122027e-07,1.352126515122027e-07,1.352126515122027e-07,1.352126515122027e-07,67329.85623045854,83.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-21,0.0,55050.67051810794,1.3453772477927676e-07,1.3453772477927676e-07,1.3453772477927676e-07,1.3453772477927676e-07,1.3453772477927676e-07,55050.67051810794,82.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-22,0.0,52924.09611752458,1.3554571105862016e-07,1.3554571105862016e-07,1.3554571105862016e-07,1.3554571105862016e-07,1.3554571105862016e-07,52924.09611752458,94.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-23,0.0,55455.81403994895,1.3592180967396896e-07,1.3592180967396896e-07,1.3592180967396896e-07,1.3592180967396896e-07,1.3592180967396896e-07,55455.81403994895,93.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2024-11-24,0.0,108793.16375198009,1.3660650755654028e-07,1.3660650755654028e-07,1.3660650755654028e-07,1.3660650755654028e-07,1.3660650755654028e-07,108793.16375198009,80.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
