Date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,Inflation Rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply,circulating_total_ratio,price_to_circulating_supply
2024-11-14,185879792.7531924,58054167.14436227,0.18594948766020952,0.18594948766020952,0.18594948766020952,0.18594948766020952,0.18594948766020952,58054167.14436227,88.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-15,188658670.51014397,72942291.659041,0.189213867786988,0.189213867786988,0.189213867786988,0.189213867786988,0.189213867786988,72942291.659041,80.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-16,252298736.01075658,77471849.33793315,0.25206997546909743,0.25206997546909743,0.25206997546909743,0.25206997546909743,0.25206997546909743,77471849.33793315,86.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-17,313744191.1703622,61820826.50167744,0.31123257751589806,0.31123257751589806,0.31123257751589806,0.31123257751589806,0.31123257751589806,61820826.50167744,90.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-18,335003855.50401056,70171246.14318435,0.3358347887627188,0.3358347887627188,0.3358347887627188,0.3358347887627188,0.3358347887627188,70171246.14318435,83.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-19,322716541.5966973,70951358.18177478,0.32255835938725314,0.32255835938725314,0.32255835938725314,0.32255835938725314,0.32255835938725314,70951358.18177478,90.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-20,271326038.37487024,82815356.45565058,0.2712334344222586,0.2712334344222586,0.2712334344222586,0.2712334344222586,0.2712334344222586,82815356.45565058,83.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-21,300410606.0845596,94834787.3824679,0.30040761832366675,0.30040761832366675,0.30040761832366675,0.30040761832366675,0.30040761832366675,94834787.3824679,82.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-22,397292536.36882526,95080925.66422106,0.4001812916035408,0.4001812916035408,0.4001812916035408,0.4001812916035408,0.4001812916035408,95080925.66422106,94.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-23,337189607.310961,59114346.510220975,0.3377852437770823,0.3377852437770823,0.3377852437770823,0.3377852437770823,0.3377852437770823,59114346.510220975,93.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-24,306236184.7257325,64650199.40796079,0.30586319990054944,0.30586319990054944,0.30586319990054944,0.30586319990054944,0.30586319990054944,64650199.40796079,80.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-25,376654343.5193819,62885307.91132395,0.3772035240352874,0.3772035240352874,0.3772035240352874,0.3772035240352874,0.3772035240352874,62885307.91132395,82.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-26,306974330.0998356,59915516.24986852,0.3069562994622366,0.3069562994622366,0.3069562994622366,0.3069562994622366,0.3069562994622366,59915516.24986852,79.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-27,350560858.215848,65228722.1250534,0.35056220024850937,0.35056220024850937,0.35056220024850937,0.35056220024850937,0.35056220024850937,65228722.1250534,75.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-28,357458226.1947919,57345849.24401167,0.3576557658570693,0.3576557658570693,0.3576557658570693,0.3576557658570693,0.3576557658570693,57345849.24401167,77.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-29,331994048.13956183,42914989.58395755,0.33254152018720423,0.33254152018720423,0.33254152018720423,0.33254152018720423,0.33254152018720423,42914989.58395755,78.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-30,349236841.6298298,43798915.22332003,0.34969565649990264,0.34969565649990264,0.34969565649990264,0.34969565649990264,0.34969565649990264,43798915.22332003,84.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-01,267594909.0735287,56265357.40106579,0.2665709167454345,0.2665709167454345,0.2665709167454345,0.2665709167454345,0.2665709167454345,56265357.40106579,81.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-02,216316954.5696828,64013839.4749152,0.21552304145273163,0.21552304145273163,0.21552304145273163,0.21552304145273163,0.21552304145273163,64013839.4749152,80.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-03,190276683.93700853,71087009.44221431,0.19022526393355382,0.19022526393355382,0.19022526393355382,0.19022526393355382,0.19022526393355382,71087009.44221431,76.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-04,186240197.05502403,66686711.175549194,0.18642021610896486,0.18642021610896486,0.18642021610896486,0.18642021610896486,0.18642021610896486,66686711.175549194,78.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
