date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,inflation rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply
2024-01-17,0.0,1746.8042228329937,3.2264468582573217e-13,3.2264468582573217e-13,3.2264468582573217e-13,3.2264468582573217e-13,3.2264468582573217e-13,1746.8042228329937,60.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-18,0.0,120.18369660010123,3.070547309330802e-13,3.070547309330802e-13,3.070547309330802e-13,3.070547309330802e-13,3.070547309330802e-13,120.18369660010123,63.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-19,0.0,115.22163897875456,3.0073373050479373e-13,3.0073373050479373e-13,3.0073373050479373e-13,3.0073373050479373e-13,3.0073373050479373e-13,115.22163897875456,51.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-20,0.0,113.85085845942018,2.902840915410103e-13,2.902840915410103e-13,2.902840915410103e-13,2.902840915410103e-13,2.902840915410103e-13,113.85085845942018,52.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-21,0.0,728.8337029825099,2.2994295159616113e-13,2.2994295159616113e-13,2.2994295159616113e-13,2.2994295159616113e-13,2.2994295159616113e-13,728.8337029825099,56.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-22,0.0,209.75112546490368,2.3040337708804215e-13,2.3040337708804215e-13,2.3040337708804215e-13,2.3040337708804215e-13,2.3040337708804215e-13,209.75112546490368,55.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-23,0.0,82.05669631279602,2.137845386341844e-13,2.137845386341844e-13,2.137845386341844e-13,2.137845386341844e-13,2.137845386341844e-13,82.05669631279602,50.0,Neutral,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-24,0.0,300.1427124379249,1.8606868740240756e-13,1.8606868740240756e-13,1.8606868740240756e-13,1.8606868740240756e-13,1.8606868740240756e-13,300.1427124379249,48.0,Fear,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-25,0.0,125.48425520979971,1.7669886847591572e-13,1.7669886847591572e-13,1.7669886847591572e-13,1.7669886847591572e-13,1.7669886847591572e-13,125.48425520979971,52.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-26,0.0,174.9686442905926,1.7139166426875102e-13,1.7139166426875102e-13,1.7139166426875102e-13,1.7139166426875102e-13,1.7139166426875102e-13,174.9686442905926,49.0,Fear,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-27,0.0,231.85961572091065,1.677897348767708e-13,1.677897348767708e-13,1.677897348767708e-13,1.677897348767708e-13,1.677897348767708e-13,231.85961572091065,55.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
